category	country	country_short	lang	lang_short	name	region	subject	text	type	url	lat	lon
National	Russia	RU	Russian	ru	oc-media-ru	Asia	General News	OC Media -  Russian	webnews	http://oc-media.org/ru/	64.6863136	97.7453061
National	Argentina	AR	Spanish	es	misionesonline	South America	General News	Misiones Online	webnews	http://misionesonline.net/	-34.9964963	-64.9672817
International	Italy	IT	Italian	it	italiannetwork	European Union	General News	Italian Network (webnews of Italians abroad)	webnews	http://www.italiannetwork.it/	42.6384261	12.674297
National	Poland	PL	Polish	pl	policja	European Union	General News	Policja	webnews	http://www.policja.pl/	53.16051785000001	17.917801870461872
National	USA	US	English	en	kxxv	North America	General News	kxxv	webnews	http://www.kxxv.com/	31.507333199999998	-97.1550307
National	USA	US	English	en	bloombergquint	North America	General News	India news	webnews	https://www.bloombergquint.com/	39.7837304	-100.4458825
National	Spain	ES	Spanish	es	noticiaspress	European Union	General News	Noticiaspress	webnews	http://www.noticiaspress.es/	39.3262345	-4.838064900000001
National	Iran	IR	Persian	fa	hamshahrionline	Middle East	General News	Hamshahri online	webnews	http://www.hamshahrionline.ir/	32.6475314	54.56435160000001
National	Italy	IT	Italian	it	buonenotizie	European Union	General News	Buone Notizie	webnews	http://www.buonenotizie.it/	42.6384261	12.674297
National	Iraq	IQ	Arabic	ar	albaghdadia	Middle East	General News	al-Baghdadia Satellite Channel	webnews	http://albaghdadia.com/	33.0955793	44.174977500000004
National	Bosnia	BA	English	en	granpol	Europe Other	General News	BOSNIA AND HERZEGOVINA  BORDER POLICE	webnews	http://www.granpol.gov.ba/?lang=en	44.305347600000005	17.596146700000002
Regional	Netherlands	NL	Dutch	nl	thuisinhetnieuws	European Union	General News	Thuis in het nieuws	webnews	http://www.thuisinhetnieuws.nl/	52.500169799999995	5.7480820999999995
Local	Italy	IT	Italian	it	genovatoday	European Union	General News	Genova Today	webnews	http://www.genovatoday.it/	42.6384261	12.674297
National	Netherlands	NL	English	en	congressrentalnetwork	European Union	General News	Congress Rental Network	webnews	https://congressrentalnetwork.com/	52.500169799999995	5.7480820999999995
National	Ecuador	EC	Spanish	es	elcomercio-EC	South America	General News	El Comercio	webnews	http://www.elcomercio.com/	-0.1754145	-78.4814458
National	Sudan	SD	English	en	gurtong	Africa	General News	Gurtong Trust	webnews	http://www.gurtong.net/	14.584444400000002	29.4917691
Regional	Poland	PL	Polish	pl	krakowgazeta	European Union	General News	Gazeta Kraków	webnews	https://krakow.wyborcza.pl/krakow/0,0.html	50.0491769	19.9656565
National	Sudan	SD	English	en	dabangasudan	Africa	General News	Radio Dabanga	webnews	https://www.dabangasudan.org/en	14.584444400000002	29.4917691
National	Italy	IT	Italian	it	qdpnews	European Union	General News	qdpnews	webnews	https://www.qdpnews.it/	42.6384261	12.674297
National	Germany	DE	German	de	mittelstandcafe	European Union	General News	Mittelstand Cafe	webnews	http://www.mittelstandcafe.de/	51.54030760000001	9.93999975368272
International	Germany	DE	German	de	Welt	European Union	General News	Welt	webnews	https://www.welt.de/	54.3030491	8.794609199999998
National	Belgium	BE	English	en	tractebel-engie	European Union	General News	Tractebel engie	webnews	https://tractebel-engie.com/en	50.6402809	4.666714499999999
National	Poland	PL	Polish	pl	home	European Union	General News	Najwyzszy Czas	webnews	https://home.pl/	52.0189912	19.19558554308718
National	Bolivia	BO	Spanish	es	eldiario	South America	General News	El Diario	webnews	https://www.eldiario.net/	-17.787179199999997	-63.18241379999999
National	Germany	DE	German	de	prignitzer	European Union	General News	prignitzer	webnews	http://www.prignitzer.de/	53.07381779999999	11.867010699999998
National	Slovenia	SI	Slovenian	sl	sloveniatimes	European Union	General News	Slovenia times	webnews	http://www.sloveniatimes.com/	45.813311299999995	14.4808369
National	USA	US	English	en	popsci	North America	General News	Popular Science	webnews	https://www.popsci.com/	39.7837304	-100.4458825
International	Vietnam	VN	Vietnamese	vi	laodong	Asia	General News	Lao Động	webnews	http://www.laodong.com.vn/	20.973433399999998	107.10052649999999
National	Greece	GR	Modern Greek (1453-)	el	insuranceworld	European Union	General News	Insurance World	webnews	http://insuranceworld.gr/ 	38.995368299999996	21.987713199999998
National	Gabon	GA	English	en	en-africanews	Africa	General News	Africa news - English version	webnews	http://www.africanews.com/	-0.8999695	11.689969900000001
International	Belgium	BE	German	de	grenzecho	European Union	General News	grenzecho	webnews	https://www.grenzecho.net/	50.6306857	6.031192878937307
International	Somalia	SO	English	en	somalidispatch	Africa	General News	Somali Dispatch	webnews	https://www.somalidispatch.com/	8.3676771	49.083416
International	Ireland	IE	English	en	teagasc	European Union	General News	Teagasc - Agriculture and Food Development Authority	webnews	https://www.teagasc.ie/	52.865196	-7.9794599
National	Spain	ES	Spanish	es	hola	European Union	General News	hola	webnews	https://www.hola.com/	41.385385799999995	2.1835037
National	Spain	ES	English	en	efca	European Union	General News	The European Fisheries Control Agency	webnews	https://www.efca.europa.eu/en	42.237312599999996	-8.7196725
National	Turkey	TR	Turkish	tr	sondakika	EU Candidate	General News	SonDakika	webnews	http://www.sondakika.com	38.959759399999996	34.9249653
National	Afghanistan	AF	English	en	afghanistantimes	Middle East	General News	Afghanistan Times	webnews	http://afghanistantimes.af/	33.7680065	66.2385139
National	China	CN	French	fr	french-news	Asia	General News	French-news	webnews	http://french.xinhuanet.com/	35.000074	104.999927
National	USA	US	English	en	thesoufancenter	North America	General News	thesoufancenter	webnews	https://thesoufancenter.org/	39.7837304	-100.4458825
National	Lithuania	LT	Lithuanian	lt	aidas	European Union	General News	aidas	webnews	http://www.aidas.lt/	54.015892099999995	23.9761296
National	USA	US	English	en	fishupdate	North America	General News	Fishupdate	webnews	https://www.fishupdate.com/	39.7837304	-100.4458825
National	Oman	OM	Arabic	ar	alroya	Middle East	General News	alroya	webnews	https://alroya.om	21.000028699999998	57.00369010000001
National	Romania	RO	English	en	hotnews-en	European Union	General News	HotNews (english)	webnews	http://english.hotnews.ro/	45.98521289999999	24.6859225
National	Belgium	BE	French	fr	bruxellesenvironnement	European Union	General News	Bruxelles Environnement	webnews	https://www.bruxellesenvironnement.be/	50.86626815	4.349082763438125
National	United Kingdom	GB	English	en	nature-ijo	Europe Other	General News	Nature - Obedity	webnews	https://www.nature.com/ijo/	54.702354500000006	-3.2765752999999997
National	Poland	PL	Polish	pl	dziennik	European Union	General News	Dziennik	webnews	http://www.dziennik.pl/	52.2537224	21.1613959
National	Bulgaria	BG	Bulgarian	bg	dnesplus	European Union	General News	dnesplus	webnews	https://dnesplus.bg/	42.6073975	25.4856617
National	United Kingdom	GB	English	en	aber	Europe Other	General News	Aberystwyth University	webnews	https://www.aber.ac.uk/en/	52.4107358	-4.05295500914411
